#OTU ID	AD01	AD04	AD05	AD07	AD08	AD09	AD10	AD100	AD101	AD102	AD103	AD104	AD105	AD106	AD107	AD108	AD109	AD11	AD110	AD111	AD112	AD113	AD114	AD116	AD118	AD119	AD12	AD120	AD121	AD122	AD123	AD125	AD126	AD127	AD13	AD14	AD16	AD17	AD18	AD19	AD20	AD21	AD22	AD23	AD24	AD25	AD26	AD27	AD29	AD30	AD31	AD32	AD33	AD34	AD35	AD36	AD37	AD40	AD41	AD47	AD50	AD53	AD54	AD55	AD58	AD59	AD60	AD61	AD62	AD63	AD64	AD65	AD66	AD67	AD68	AD69	AD70	AD71	AD74	AD75	AD76	AD77	AD78	AD79	AD80	AD83	AD84	AD85	AD86	AD88	AD89	AD90	AD91	AD92	AD93	AD94	AD96	AD97	AD98	AD99	C01	C02	C03	C05	C07	C08	C09	C10	C11	C12	C13	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C39	C40	C42	C43	C44	C46	C49	C50	C51	C52	C54	C55	C57	C58	C59	C60	C61	C62	C63	C64	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82	C83	C84	C85	C86	C87	C88
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	3.0	1294.0	0.0	13.0	0.0	0.0	162.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	234.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	26.0	0.0	2586.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.0	0.0	0.0	10513.0	0.0	203.0	348.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	348.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	21.0	26.0	0.0	0.0	0.0	0.0	103.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	120.0	0.0	0.0	55.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales	0.0	0.0	0.0	0.0	7.0	0.0	0.0	520.0	0.0	0.0	4.0	44.0	0.0	103.0	0.0	12.0	115.0	0.0	0.0	0.0	31.0	24.0	29.0	179.0	61.0	102.0	0.0	57.0	13.0	136.0	37.0	16.0	171.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	5.0	7.0	14.0	0.0	0.0	0.0	8.0	105.0	0.0	0.0	10.0	0.0	0.0	17.0	0.0	44.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	9.0	10.0	17.0	11.0	0.0	641.0	0.0	13.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	165.0	0.0	0.0	7.0	30.0	21.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	6.0	0.0	13.0	0.0	0.0	0.0	6.0	0.0	49.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	42.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	58.0	0.0	6.0	545.0	197.0	238.0	32.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	170.0	0.0	0.0	0.0	329.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales	625.0	29.0	6705.0	10.0	52.0	1789.0	163.0	6515.0	15.0	7764.0	617.0	63.0	187.0	11221.0	250.0	346.0	7356.0	7.0	0.0	79.0	3575.0	491.0	1007.0	755.0	195.0	4800.0	2605.0	11368.0	136.0	1060.0	30.0	5.0	1591.0	117.0	12.0	85.0	2223.0	7014.0	8845.0	4238.0	4154.0	2223.0	7217.0	46.0	6657.0	881.0	9811.0	13622.0	13149.0	10455.0	6534.0	142.0	1448.0	10.0	826.0	36913.0	4379.0	3464.0	458.0	2552.0	121.0	264.0	1559.0	15356.0	56.0	1842.0	17855.0	60.0	13372.0	379.0	9.0	4.0	1572.0	127.0	210.0	1038.0	9110.0	6.0	14709.0	6885.0	158.0	1908.0	671.0	2332.0	36.0	113.0	1677.0	384.0	4886.0	297.0	1658.0	17244.0	32.0	0.0	116.0	21.0	103.0	4515.0	22.0	21295.0	59.0	126.0	6.0	98.0	9.0	10.0	0.0	20.0	135.0	0.0	2628.0	781.0	4.0	0.0	7180.0	1358.0	0.0	0.0	21.0	6428.0	160.0	383.0	1016.0	94.0	1601.0	1039.0	33.0	86.0	686.0	20.0	4962.0	38.0	122.0	7.0	473.0	46.0	181.0	733.0	1516.0	8.0	787.0	47.0	20.0	1630.0	2749.0	40.0	222.0	2126.0	69.0	344.0	7608.0	120.0	9.0	0.0	0.0	35.0	8.0	42.0	592.0	1400.0	47.0	5337.0	2401.0	65.0	3874.0	5028.0	0.0	289.0	8266.0	16.0	292.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales	0.0	0.0	0.0	0.0	0.0	9.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	8.0	87.0	0.0	39.0	0.0	6518.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	6.0	8.0	0.0	8.0	0.0	13.0	14.0	0.0	0.0	3.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales	0.0	0.0	0.0	0.0	0.0	7.0	0.0	6.0	30.0	0.0	0.0	17.0	0.0	4.0	0.0	0.0	9.0	5.0	14.0	3.0	5.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	4.0	60.0	5.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	422.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	5.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	4.0	0.0	2.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	1554.0	13.0	307.0	126.0	123.0	210.0	202.0	6252.0	205.0	50.0	36.0	369.0	54.0	259.0	62.0	68.0	12278.0	131.0	0.0	114.0	14.0	71.0	123.0	256.0	1319.0	1809.0	109.0	1360.0	240.0	312.0	265.0	119.0	610.0	162.0	20.0	105.0	198.0	105.0	751.0	927.0	3783.0	52.0	1898.0	71.0	80.0	35.0	1067.0	1988.0	2704.0	108.0	7049.0	0.0	551.0	732.0	335.0	0.0	1484.0	152.0	69.0	328.0	266.0	2906.0	2992.0	753.0	941.0	77.0	1045.0	909.0	261.0	387.0	64.0	79.0	338.0	16.0	12.0	496.0	1407.0	20.0	254.0	689.0	5820.0	131.0	1061.0	1337.0	198.0	4527.0	197.0	115.0	3857.0	208.0	1670.0	740.0	342.0	72.0	439.0	124.0	162.0	26.0	21.0	2104.0	407.0	41.0	318.0	35.0	267.0	90.0	15.0	81.0	33.0	176.0	404.0	639.0	37.0	96.0	226.0	306.0	12.0	540.0	664.0	101.0	37.0	39.0	578.0	236.0	413.0	3.0	112.0	0.0	52.0	171.0	424.0	52.0	81.0	3219.0	0.0	50.0	557.0	286.0	882.0	31.0	116.0	60.0	414.0	47.0	16.0	59.0	232.0	18.0	73.0	50.0	1142.0	26.0	0.0	244.0	4591.0	503.0	104.0	281.0	141.0	194.0	41.0	884.0	459.0	199.0	1145.0	30.0	111.0	157.0	1526.0	110.0	645.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	268.0	797.0	234.0	1891.0	269.0	1419.0	195.0	542.0	698.0	8932.0	9135.0	468.0	8066.0	6.0	3268.0	7617.0	433.0	1736.0	0.0	12774.0	650.0	8305.0	7087.0	3277.0	1911.0	11.0	1396.0	832.0	244.0	260.0	7549.0	142.0	871.0	1432.0	3797.0	2643.0	4.0	0.0	50.0	589.0	40.0	0.0	537.0	964.0	105.0	0.0	81.0	0.0	365.0	48.0	30.0	0.0	3536.0	930.0	185.0	0.0	1347.0	863.0	82.0	9331.0	3065.0	1250.0	1121.0	292.0	0.0	105.0	176.0	102.0	45.0	185.0	518.0	2475.0	5131.0	0.0	59.0	3870.0	188.0	3.0	3740.0	9629.0	355.0	11106.0	1081.0	46.0	582.0	94.0	202.0	3468.0	10.0	766.0	2713.0	422.0	2943.0	24.0	77.0	5862.0	0.0	6522.0	4573.0	229.0	389.0	27.0	1363.0	2791.0	1144.0	528.0	124.0	3425.0	1040.0	3636.0	521.0	244.0	4614.0	267.0	7768.0	2157.0	616.0	55.0	432.0	71.0	31.0	3791.0	598.0	613.0	1228.0	44.0	1463.0	183.0	233.0	410.0	589.0	814.0	224.0	8552.0	24.0	3737.0	3513.0	2282.0	2912.0	0.0	2308.0	1581.0	1469.0	557.0	3459.0	336.0	48.0	8173.0	477.0	3308.0	958.0	1370.0	115.0	37.0	880.0	22.0	28.0	1203.0	1877.0	3.0	5.0	3356.0	102.0	1984.0	205.0	11.0	2401.0	171.0	513.0	1233.0	334.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales	5.0	6.0	0.0	10.0	15.0	0.0	184.0	17.0	0.0	99.0	0.0	18.0	0.0	0.0	10.0	25.0	0.0	199.0	0.0	0.0	0.0	66.0	0.0	0.0	39.0	0.0	4.0	24.0	0.0	18.0	1371.0	5.0	0.0	232.0	47.0	0.0	0.0	0.0	0.0	13.0	20.0	9.0	71.0	0.0	0.0	10.0	0.0	0.0	0.0	10.0	11.0	0.0	112.0	0.0	5.0	0.0	35.0	25.0	310.0	0.0	12.0	0.0	4.0	0.0	209.0	0.0	75.0	0.0	3.0	6.0	98.0	210.0	490.0	0.0	0.0	4.0	0.0	0.0	156.0	30.0	339.0	116.0	136.0	142.0	97.0	33.0	119.0	174.0	10.0	290.0	68.0	3.0	3.0	0.0	340.0	6.0	0.0	0.0	0.0	17.0	0.0	0.0	14.0	30.0	7.0	50.0	0.0	19.0	7.0	81.0	24.0	108.0	34.0	5.0	0.0	204.0	68.0	0.0	48.0	0.0	2.0	19.0	33.0	22.0	7.0	0.0	8.0	0.0	4.0	5.0	8.0	25.0	0.0	3.0	0.0	159.0	85.0	19.0	6.0	0.0	113.0	7.0	0.0	67.0	0.0	26.0	8.0	0.0	0.0	46.0	0.0	16.0	0.0	0.0	82.0	11.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	180.0	221.0	0.0	22.0	14.0	89.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;__	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	42.0	0.0	0.0	0.0	19.0	0.0	6.0	1057.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	22.0	98.0	0.0	0.0	117.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Entomoplasmatales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	125.0	56.0	23.0	128.0	5.0	299.0	108.0	956.0	3448.0	27.0	16.0	1088.0	165.0	567.0	184.0	103.0	148.0	173.0	0.0	18.0	148.0	26.0	115.0	56.0	125.0	235.0	138.0	64.0	10.0	1416.0	33.0	433.0	418.0	198.0	8.0	364.0	25.0	245.0	37.0	689.0	86.0	5.0	36.0	52.0	36.0	125.0	79.0	0.0	250.0	285.0	244.0	78.0	513.0	291.0	313.0	0.0	411.0	167.0	181.0	0.0	261.0	112.0	0.0	51.0	18.0	141.0	1877.0	368.0	213.0	417.0	10.0	6.0	0.0	73.0	0.0	365.0	485.0	2.0	12.0	53.0	273.0	26.0	311.0	53.0	141.0	311.0	108.0	230.0	118.0	341.0	35.0	1042.0	6916.0	24.0	46.0	6.0	2207.0	19.0	5.0	0.0	227.0	29.0	56.0	62.0	61.0	52.0	36.0	174.0	54.0	50.0	17.0	33.0	11.0	41.0	1656.0	39.0	3.0	93.0	15.0	42.0	40.0	95.0	65.0	22.0	14.0	139.0	12.0	220.0	27.0	40.0	101.0	51.0	36.0	152.0	0.0	0.0	42.0	43.0	29.0	275.0	348.0	16.0	85.0	160.0	205.0	88.0	94.0	52.0	90.0	13.0	120.0	54.0	3.0	146.0	315.0	1154.0	17.0	94.0	49.0	195.0	163.0	12.0	224.0	102.0	31.0	25.0	8.0	90.0	322.0	29.0	43.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	115.0	13.0	620.0	23.0	33.0	2.0	1058.0	28.0	271.0	20.0	18.0	398.0	9.0	51.0	251.0	126.0	926.0	31.0	19621.0	68.0	242.0	74.0	210.0	188.0	665.0	1927.0	12.0	220.0	98.0	235.0	473.0	131.0	1633.0	481.0	69.0	296.0	294.0	1380.0	654.0	325.0	0.0	0.0	190.0	7.0	39.0	231.0	198.0	1089.0	1025.0	17.0	1302.0	110.0	950.0	8.0	102.0	267.0	86.0	12.0	309.0	5150.0	820.0	11.0	418.0	208.0	35.0	639.0	80.0	0.0	0.0	979.0	16.0	248.0	132.0	29.0	13982.0	0.0	70.0	123.0	50.0	2083.0	213.0	21.0	988.0	1872.0	92.0	7.0	487.0	8.0	22.0	290.0	92.0	32.0	182.0	105.0	477.0	1655.0	8684.0	5727.0	1310.0	816.0	1665.0	14.0	72.0	113.0	9.0	0.0	0.0	165.0	2726.0	0.0	148.0	3.0	5.0	0.0	1739.0	952.0	76.0	0.0	13.0	29.0	147.0	24.0	93.0	5.0	31.0	608.0	242.0	2.0	2608.0	3.0	15.0	252.0	5.0	10.0	77.0	11.0	12.0	0.0	5.0	1090.0	126.0	45.0	166.0	9.0	10.0	8.0	155.0	78.0	0.0	0.0	32.0	11.0	11.0	776.0	1410.0	676.0	84.0	25.0	3.0	125.0	68.0	682.0	194.0	28.0	340.0	10864.0	0.0	4.0	723.0	111.0	61.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	10.0	0.0	6.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	18.0	29.0	130.0	0.0	0.0	23.0	45.0	0.0	8.0	233.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	15.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	10.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	297.0	79.0	40.0	45.0	0.0	0.0	18.0	6.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	73.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;__	0.0	0.0	0.0	0.0	0.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales	404.0	0.0	0.0	75.0	0.0	31.0	523.0	1051.0	0.0	11.0	4.0	79.0	10.0	0.0	70.0	13.0	85.0	106.0	3.0	66.0	0.0	135.0	252.0	8.0	1247.0	0.0	0.0	426.0	0.0	0.0	14.0	0.0	0.0	784.0	0.0	0.0	17.0	10.0	9.0	372.0	7.0	0.0	716.0	35.0	0.0	0.0	199.0	0.0	31.0	67.0	95.0	0.0	9.0	188.0	51.0	0.0	259.0	193.0	354.0	0.0	92.0	68.0	326.0	25.0	33.0	27.0	1679.0	7.0	99.0	59.0	144.0	4429.0	6.0	0.0	0.0	390.0	403.0	0.0	0.0	92.0	250.0	42.0	6245.0	5.0	1123.0	210.0	68.0	0.0	4.0	126.0	93.0	2602.0	415.0	87.0	10.0	0.0	0.0	0.0	0.0	0.0	512.0	0.0	803.0	0.0	26.0	95.0	0.0	122.0	45.0	551.0	15.0	2.0	209.0	0.0	0.0	68.0	188.0	0.0	97.0	29.0	21.0	19.0	0.0	0.0	95.0	0.0	166.0	434.0	0.0	16.0	0.0	13.0	19.0	17.0	4.0	195.0	98.0	122.0	8.0	0.0	114.0	180.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	56.0	8.0	11.0	0.0	0.0	174.0	449.0	0.0	449.0	0.0	0.0	0.0	0.0	0.0	231.0	0.0	0.0	58.0	292.0	8.0	42.0	498.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
